Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
BA;Brasil;Nordeste;BA;;524;Amarela;4;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;2;Amarela;4;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;1183;Amarela;4;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;13;Amarela;4;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;7813;Branca;1;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;17;Branca;1;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;10977;Branca;1;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;264;Branca;1;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;1108;Indígena;5;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;5;Indígena;5;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;610;Indígena;5;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;5;Indígena;5;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;65673;Não declarada;10;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;243;Não declarada;10;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;104210;Não declarada;10;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;1502;Não declarada;10;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;90224;Parda;3;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;140;Parda;3;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;95210;Parda;3;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;1690;Parda;3;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;28190;Preta;2;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;61;Preta;2;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;23498;Preta;2;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;503;Preta;2;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
