Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
BA;Brasil;Nordeste;BA;;68146;Feminino;2;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;220;Feminino;2;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;85706;Feminino;2;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;2677;Feminino;2;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;64436;Masculino;1;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;142;Masculino;1;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;102223;Masculino;1;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;3162;Masculino;1;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
