Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
BA;Brasil;Nordeste;BA;;75663;Feminino;2;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;218;Feminino;2;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;109607;Feminino;2;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;3848;Feminino;2;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;64593;Masculino;1;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;113;Masculino;1;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;107208;Masculino;1;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;4376;Masculino;1;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
